id,sample_id,fertility_score,ph_score,organic_matter_score,nutrient_score,physical_property_score,comprehensive_grade,limiting_factors,improvement_suggestions,assessment_date,assessor,created_at
15,15,62.23,88.43,70.57,79.25,91.89,良,无明显限制因子,深耕松土，改善土壤结构,2024-10-01,李专家,2024-08-10 21:07:46
16,16,86.53,87.98,70.31,73.34,79.78,良,养分不平衡,合理施用石灰，调节土壤pH值,2025-01-12,王研究员,2023-10-18 21:03:47
17,17,75.2,82.06,77.62,84.99,80.88,良,无明显限制因子,科学施肥，平衡土壤养分,2023-07-29,赵工程师,2024-04-20 21:14:51
18,18,72.42,86.4,76.76,83.33,87.07,良,无明显限制因子,深耕松土，改善土壤结构,2024-10-26,张教授,2025-04-17 22:38:42
19,19,83.19,79.98,82.68,75.06,91.23,良,无明显限制因子,科学施肥，平衡土壤养分,2024-04-11,陈博士,2023-06-28 02:55:59
20,20,94.67,83.73,80.87,85.93,87.3,优,无明显限制因子,轮作倒茬，维护土壤生态平衡,2024-01-12,张教授,2024-03-17 19:40:55
21,21,66.98,80.12,65.51,80.35,77.51,中,有机质含量偏低,科学施肥，平衡土壤养分,2022-11-08,王研究员,2023-10-16 06:15:35
22,22,67.17,77.37,76.4,84.35,91.53,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2023-09-12,李专家,2023-12-26 06:44:38
23,23,71.2,83.4,70.38,71.25,89.9,良,养分不平衡,增施有机肥，提高土壤有机质含量,2024-11-12,赵工程师,2023-01-27 11:55:17
24,24,78.15,84.9,65.18,75.73,87.3,良,有机质含量偏低,合理施用石灰，调节土壤pH值,2023-02-11,陈博士,2024-03-21 17:21:30
25,25,74.76,70.93,67.62,70.13,91.68,良,pH值偏离适宜范围; 有机质含量偏低; 养分不平衡,轮作倒茬，维护土壤生态平衡,2024-04-09,赵工程师,2024-01-21 06:53:19
26,26,66.64,89.33,83.16,80.9,75.58,良,无明显限制因子,合理施用石灰，调节土壤pH值,2022-09-07,陈博士,2023-02-22 15:39:37
27,27,83.0,71.08,81.04,85.8,86.28,良,pH值偏离适宜范围,科学施肥，平衡土壤养分,2024-08-21,赵工程师,2024-05-28 18:16:51
28,28,65.95,80.81,82.57,85.21,82.9,良,无明显限制因子,轮作倒茬，维护土壤生态平衡,2023-01-02,赵工程师,2024-08-20 02:45:04
29,29,94.01,70.28,65.39,70.05,91.76,良,pH值偏离适宜范围; 有机质含量偏低; 养分不平衡,轮作倒茬，维护土壤生态平衡,2022-07-11,王研究员,2023-03-26 22:38:41
30,30,75.88,70.09,84.57,70.98,79.79,良,pH值偏离适宜范围; 养分不平衡,合理施用石灰，调节土壤pH值,2023-09-18,赵工程师,2025-04-23 15:14:00
31,31,78.77,76.92,84.93,79.91,81.98,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2023-03-14,陈博士,2023-10-31 07:24:58
32,32,78.63,77.28,80.47,77.11,91.89,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2024-05-07,陈博士,2024-11-26 22:41:00
33,33,83.85,77.81,79.64,76.03,89.31,良,无明显限制因子,轮作倒茬，维护土壤生态平衡,2025-01-10,李专家,2023-03-29 20:39:31
34,34,91.98,73.45,73.9,83.29,76.78,良,pH值偏离适宜范围,深耕松土，改善土壤结构,2024-01-10,陈博士,2023-08-05 19:00:25
35,35,65.61,75.46,68.16,81.15,91.52,良,有机质含量偏低,合理施用石灰，调节土壤pH值,2024-12-07,王研究员,2022-09-24 08:59:27
36,36,80.02,86.12,69.34,80.35,88.72,良,有机质含量偏低,合理施用石灰，调节土壤pH值,2023-08-11,张教授,2022-07-20 05:55:24
37,37,94.53,88.87,67.07,75.92,85.84,良,有机质含量偏低,深耕松土，改善土壤结构,2024-01-14,王研究员,2024-11-25 12:34:34
38,38,73.48,88.75,78.29,86.44,83.46,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2023-10-25,李专家,2025-04-24 19:53:00
39,39,90.51,71.31,79.58,74.56,78.68,良,pH值偏离适宜范围; 养分不平衡,增施有机肥，提高土壤有机质含量,2024-03-01,李专家,2022-10-12 20:50:10
40,40,66.94,86.34,71.95,77.16,76.24,良,无明显限制因子,科学施肥，平衡土壤养分,2025-04-20,王研究员,2023-10-27 15:43:33
41,41,86.53,72.45,76.28,83.27,86.93,良,pH值偏离适宜范围,深耕松土，改善土壤结构,2022-07-28,赵工程师,2024-11-11 16:14:12
42,42,93.35,85.82,69.74,87.42,80.89,良,有机质含量偏低,合理施用石灰，调节土壤pH值,2024-10-16,王研究员,2024-02-17 04:16:36
43,43,85.64,74.88,73.72,83.99,84.7,良,pH值偏离适宜范围,增施有机肥，提高土壤有机质含量,2025-01-15,赵工程师,2022-10-06 18:52:07
44,44,83.32,73.39,82.02,71.41,86.39,良,pH值偏离适宜范围; 养分不平衡,深耕松土，改善土壤结构,2025-05-16,赵工程师,2024-12-05 00:26:07
45,45,69.47,75.61,84.78,87.07,91.11,良,无明显限制因子,深耕松土，改善土壤结构,2023-06-20,陈博士,2023-01-15 06:44:59
46,46,83.8,85.18,83.57,85.6,91.21,优,无明显限制因子,增施有机肥，提高土壤有机质含量,2024-11-24,王研究员,2022-10-27 02:52:38
47,47,90.41,75.83,66.66,85.2,75.98,良,有机质含量偏低,增施有机肥，提高土壤有机质含量,2024-05-23,王研究员,2024-04-02 19:40:41
48,48,94.52,75.85,70.6,80.96,79.1,良,无明显限制因子,科学施肥，平衡土壤养分,2023-02-02,李专家,2024-08-27 16:51:15
49,49,84.37,89.98,72.71,77.5,86.57,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2023-08-30,李专家,2024-11-06 06:53:53
50,50,62.47,85.06,69.29,71.77,88.05,良,有机质含量偏低; 养分不平衡,深耕松土，改善土壤结构,2024-08-01,陈博士,2023-04-05 02:08:48
51,51,66.15,72.13,78.81,87.73,91.19,良,pH值偏离适宜范围,增施有机肥，提高土壤有机质含量,2025-05-26,赵工程师,2023-01-13 05:45:00
52,52,86.95,73.63,77.61,81.24,75.9,良,pH值偏离适宜范围,合理施用石灰，调节土壤pH值,2024-05-11,王研究员,2023-08-21 14:28:54
53,53,61.39,77.67,70.42,74.94,82.32,中,养分不平衡,增施有机肥，提高土壤有机质含量,2025-02-11,王研究员,2025-04-27 19:16:52
54,54,80.45,70.16,81.33,85.73,75.39,良,pH值偏离适宜范围,深耕松土，改善土壤结构,2022-11-30,李专家,2022-06-24 20:27:44
55,55,67.81,86.23,66.12,71.04,79.56,中,有机质含量偏低; 养分不平衡,增施有机肥，提高土壤有机质含量,2024-06-14,张教授,2023-09-25 18:54:17
56,56,71.47,78.97,74.44,84.37,86.24,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2024-02-27,王研究员,2022-08-14 19:51:40
57,57,69.06,70.26,83.96,82.67,87.76,良,pH值偏离适宜范围,合理施用石灰，调节土壤pH值,2024-10-26,李专家,2024-08-29 22:05:18
58,58,89.0,78.21,67.29,71.69,89.55,良,有机质含量偏低; 养分不平衡,轮作倒茬，维护土壤生态平衡,2023-08-05,李专家,2023-01-09 05:34:27
59,59,80.64,78.5,74.44,77.11,84.18,良,无明显限制因子,轮作倒茬，维护土壤生态平衡,2025-05-01,张教授,2024-07-01 23:12:02
60,60,84.47,83.99,74.6,83.15,85.1,良,无明显限制因子,合理施用石灰，调节土壤pH值,2023-06-19,陈博士,2024-02-11 19:21:14
61,61,84.82,83.18,68.99,86.73,89.15,良,有机质含量偏低,深耕松土，改善土壤结构,2024-10-28,李专家,2025-01-11 10:06:51
62,62,85.43,82.69,68.3,76.99,76.37,良,有机质含量偏低,深耕松土，改善土壤结构,2023-01-18,张教授,2023-05-14 13:16:19
63,63,83.88,80.88,69.98,77.16,82.32,良,有机质含量偏低,轮作倒茬，维护土壤生态平衡,2025-05-15,张教授,2024-03-15 13:17:14
64,64,89.18,79.36,69.4,76.5,88.93,良,有机质含量偏低,增施有机肥，提高土壤有机质含量,2023-03-17,张教授,2025-02-17 19:31:48
65,65,64.68,80.49,72.18,86.33,84.53,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2023-06-07,赵工程师,2025-02-15 12:37:08
66,66,68.75,71.06,67.98,80.92,87.56,良,pH值偏离适宜范围; 有机质含量偏低,增施有机肥，提高土壤有机质含量,2023-09-30,陈博士,2024-07-13 12:44:04
67,67,68.91,77.42,81.79,71.69,81.51,良,养分不平衡,科学施肥，平衡土壤养分,2022-09-08,张教授,2023-02-13 06:15:22
68,68,63.88,71.61,72.7,79.83,81.62,中,pH值偏离适宜范围,深耕松土，改善土壤结构,2024-01-22,王研究员,2023-06-21 03:22:43
69,69,64.34,72.95,75.61,73.79,80.13,中,pH值偏离适宜范围; 养分不平衡,增施有机肥，提高土壤有机质含量,2022-10-23,王研究员,2023-02-20 11:03:21
70,70,84.96,85.28,67.02,77.45,81.01,良,有机质含量偏低,轮作倒茬，维护土壤生态平衡,2022-12-22,李专家,2023-11-29 12:47:35
71,71,85.63,89.45,76.91,76.55,83.15,良,无明显限制因子,科学施肥，平衡土壤养分,2025-04-13,李专家,2022-06-20 02:17:01
72,72,85.63,72.94,73.8,71.62,87.66,良,pH值偏离适宜范围; 养分不平衡,深耕松土，改善土壤结构,2024-02-12,王研究员,2024-08-04 19:25:46
73,73,78.24,85.85,78.97,77.1,79.19,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2024-09-14,赵工程师,2022-12-16 14:11:56
74,74,91.94,88.24,80.9,83.64,75.33,良,无明显限制因子,合理施用石灰，调节土壤pH值,2022-12-29,李专家,2023-01-15 10:46:07
75,75,84.86,80.24,75.72,84.17,81.04,良,无明显限制因子,合理施用石灰，调节土壤pH值,2024-04-22,李专家,2024-02-18 17:20:02
76,76,77.11,71.45,80.2,83.88,77.14,良,pH值偏离适宜范围,科学施肥，平衡土壤养分,2022-06-27,赵工程师,2025-02-20 05:45:47
77,77,80.16,77.31,78.37,83.7,82.09,良,无明显限制因子,轮作倒茬，维护土壤生态平衡,2024-04-26,李专家,2023-08-20 01:40:27
78,78,83.63,89.23,80.52,71.35,76.66,良,养分不平衡,轮作倒茬，维护土壤生态平衡,2023-12-22,赵工程师,2024-12-29 11:33:29
79,79,61.1,89.69,72.56,79.33,86.67,良,无明显限制因子,深耕松土，改善土壤结构,2023-06-11,李专家,2024-08-08 16:47:46
80,80,85.95,73.43,74.36,82.13,89.83,良,pH值偏离适宜范围,轮作倒茬，维护土壤生态平衡,2024-05-20,王研究员,2023-08-24 20:25:14
81,81,89.71,74.35,70.4,84.53,91.22,良,pH值偏离适宜范围,增施有机肥，提高土壤有机质含量,2023-10-31,陈博士,2022-09-29 16:58:10
82,82,92.67,86.47,82.13,81.5,89.79,优,无明显限制因子,轮作倒茬，维护土壤生态平衡,2024-08-02,王研究员,2023-08-29 23:19:36
83,83,67.92,89.53,75.96,71.97,75.67,良,养分不平衡,轮作倒茬，维护土壤生态平衡,2024-06-08,赵工程师,2022-12-16 13:17:48
84,84,65.07,87.43,82.4,84.61,82.88,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2024-04-21,赵工程师,2023-07-06 12:52:14
85,85,69.55,78.95,79.13,81.5,91.7,良,无明显限制因子,轮作倒茬，维护土壤生态平衡,2024-08-06,王研究员,2024-09-15 11:52:12
86,86,64.81,72.55,83.89,78.54,77.39,良,pH值偏离适宜范围,轮作倒茬，维护土壤生态平衡,2025-05-13,李专家,2023-10-26 12:47:32
87,87,80.67,70.03,77.91,80.53,82.14,良,pH值偏离适宜范围,合理施用石灰，调节土壤pH值,2024-11-06,王研究员,2023-07-31 16:51:54
88,88,62.04,89.9,74.81,85.78,84.73,良,无明显限制因子,深耕松土，改善土壤结构,2024-05-25,赵工程师,2025-04-20 01:02:35
89,89,89.89,84.72,65.12,70.83,85.52,良,有机质含量偏低; 养分不平衡,增施有机肥，提高土壤有机质含量,2023-03-03,李专家,2023-10-13 00:38:58
90,90,91.91,74.25,78.0,78.85,81.43,良,pH值偏离适宜范围,增施有机肥，提高土壤有机质含量,2022-11-09,李专家,2022-11-29 22:48:55
91,91,65.84,85.79,79.22,84.29,91.88,良,无明显限制因子,深耕松土，改善土壤结构,2025-02-27,陈博士,2024-10-15 12:47:23
92,92,83.16,76.17,80.79,76.63,80.95,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2023-09-27,李专家,2022-09-02 23:36:48
93,93,72.84,82.4,74.32,87.0,77.6,良,无明显限制因子,合理施用石灰，调节土壤pH值,2022-11-02,李专家,2024-10-12 03:56:01
94,94,85.84,71.63,69.82,83.9,80.12,良,pH值偏离适宜范围; 有机质含量偏低,轮作倒茬，维护土壤生态平衡,2022-07-29,张教授,2024-01-21 07:50:49
95,95,79.05,82.91,71.95,81.43,85.89,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2024-03-12,王研究员,2023-12-30 04:10:52
96,96,86.98,87.86,84.4,71.03,91.72,良,养分不平衡,增施有机肥，提高土壤有机质含量,2022-12-03,赵工程师,2023-01-28 14:39:40
97,97,62.66,89.22,79.73,74.66,76.02,良,养分不平衡,深耕松土，改善土壤结构,2023-01-08,赵工程师,2023-11-09 21:39:47
98,98,61.49,74.06,72.68,80.67,90.58,良,pH值偏离适宜范围,合理施用石灰，调节土壤pH值,2024-10-23,李专家,2022-07-29 11:38:48
99,99,93.0,74.87,75.71,78.86,86.53,良,pH值偏离适宜范围,轮作倒茬，维护土壤生态平衡,2025-03-25,李专家,2024-05-11 07:27:29
100,100,69.55,84.06,78.67,86.28,88.0,良,无明显限制因子,科学施肥，平衡土壤养分,2022-08-08,王研究员,2025-04-04 03:15:50
101,101,74.01,75.35,67.24,82.13,79.51,良,有机质含量偏低,合理施用石灰，调节土壤pH值,2025-05-17,王研究员,2024-08-13 16:44:42
102,102,81.78,74.42,72.92,86.38,88.94,良,pH值偏离适宜范围,轮作倒茬，维护土壤生态平衡,2022-09-30,张教授,2024-05-13 11:53:45
103,103,90.49,77.03,84.72,86.02,88.84,优,无明显限制因子,深耕松土，改善土壤结构,2023-09-11,陈博士,2023-02-15 10:21:45
104,104,73.56,78.02,81.38,74.87,85.21,良,养分不平衡,轮作倒茬，维护土壤生态平衡,2023-07-10,王研究员,2024-05-11 15:38:30
105,105,61.68,83.84,71.74,86.44,83.35,良,无明显限制因子,科学施肥，平衡土壤养分,2022-09-14,李专家,2024-04-29 09:56:59
106,106,67.69,77.12,83.05,83.2,78.98,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2023-11-26,张教授,2023-06-05 20:23:04
107,107,84.12,72.78,75.25,86.93,86.24,良,pH值偏离适宜范围,合理施用石灰，调节土壤pH值,2024-03-17,王研究员,2025-06-07 08:05:25
108,108,90.75,71.87,66.56,81.85,88.67,良,pH值偏离适宜范围; 有机质含量偏低,增施有机肥，提高土壤有机质含量,2025-04-16,王研究员,2025-03-08 00:30:54
109,109,66.78,72.65,76.07,72.01,76.32,中,pH值偏离适宜范围; 养分不平衡,科学施肥，平衡土壤养分,2024-01-20,张教授,2024-07-27 01:16:15
110,110,78.44,86.21,79.75,77.73,89.17,良,无明显限制因子,深耕松土，改善土壤结构,2024-08-31,陈博士,2022-07-23 01:33:41
111,111,72.28,88.75,74.42,80.33,80.3,良,无明显限制因子,轮作倒茬，维护土壤生态平衡,2023-06-08,王研究员,2024-05-20 16:27:00
112,112,90.45,75.42,65.07,86.2,83.01,良,有机质含量偏低,轮作倒茬，维护土壤生态平衡,2024-07-28,王研究员,2022-11-28 06:22:29
113,113,72.37,81.55,66.94,80.18,86.55,良,有机质含量偏低,深耕松土，改善土壤结构,2023-05-18,张教授,2024-09-18 12:47:42
114,114,74.61,86.34,77.08,80.52,84.05,良,无明显限制因子,合理施用石灰，调节土壤pH值,2022-11-16,张教授,2023-09-12 02:44:07
115,115,86.5,70.79,80.88,73.71,83.51,良,pH值偏离适宜范围; 养分不平衡,深耕松土，改善土壤结构,2023-06-04,张教授,2023-07-20 22:09:40
116,116,83.39,72.2,74.95,82.71,82.99,良,pH值偏离适宜范围,增施有机肥，提高土壤有机质含量,2025-05-15,张教授,2023-06-27 07:05:57
117,117,86.56,70.61,74.83,73.33,80.03,良,pH值偏离适宜范围; 养分不平衡,增施有机肥，提高土壤有机质含量,2022-09-21,赵工程师,2024-10-10 14:42:21
118,118,73.18,87.17,77.98,79.23,81.4,良,无明显限制因子,科学施肥，平衡土壤养分,2023-12-05,陈博士,2025-01-17 22:19:34
119,119,78.55,71.82,66.41,78.82,81.84,良,pH值偏离适宜范围; 有机质含量偏低,深耕松土，改善土壤结构,2023-11-27,赵工程师,2022-07-08 02:23:41
120,120,79.7,71.07,71.26,79.19,87.04,良,pH值偏离适宜范围,轮作倒茬，维护土壤生态平衡,2023-03-01,李专家,2025-05-31 01:29:33
121,121,86.25,73.28,71.39,82.8,91.13,良,pH值偏离适宜范围,增施有机肥，提高土壤有机质含量,2022-07-12,王研究员,2022-11-10 05:42:37
122,122,60.1,78.9,66.99,74.08,83.71,中,有机质含量偏低; 养分不平衡,合理施用石灰，调节土壤pH值,2024-06-15,张教授,2022-09-21 16:32:32
123,123,61.32,86.57,76.28,76.85,86.52,良,无明显限制因子,合理施用石灰，调节土壤pH值,2024-11-08,陈博士,2024-11-18 17:27:10
124,124,76.91,87.65,68.47,79.45,89.35,良,有机质含量偏低,科学施肥，平衡土壤养分,2023-05-01,陈博士,2024-05-05 08:00:36
125,125,81.04,76.22,80.64,81.67,80.54,良,无明显限制因子,科学施肥，平衡土壤养分,2024-04-22,李专家,2024-07-24 08:23:39
126,126,75.93,81.6,71.23,82.35,81.37,良,无明显限制因子,深耕松土，改善土壤结构,2023-02-01,王研究员,2024-02-22 03:19:13
127,127,92.68,87.6,77.17,74.83,87.86,良,养分不平衡,增施有机肥，提高土壤有机质含量,2025-05-22,李专家,2023-07-22 13:03:52
128,128,83.54,82.31,65.65,74.62,86.62,良,有机质含量偏低; 养分不平衡,轮作倒茬，维护土壤生态平衡,2022-09-21,陈博士,2024-10-30 17:22:35
129,129,82.49,83.66,77.07,70.31,91.47,良,养分不平衡,增施有机肥，提高土壤有机质含量,2024-01-26,赵工程师,2022-07-25 17:15:59
130,130,83.28,89.82,77.69,83.93,82.71,良,无明显限制因子,深耕松土，改善土壤结构,2024-08-01,赵工程师,2023-11-26 18:07:30
131,131,81.99,71.31,68.43,74.64,78.94,良,pH值偏离适宜范围; 有机质含量偏低; 养分不平衡,轮作倒茬，维护土壤生态平衡,2022-10-07,王研究员,2024-10-08 18:02:52
132,132,62.43,75.6,79.37,83.91,86.37,良,无明显限制因子,轮作倒茬，维护土壤生态平衡,2022-11-14,王研究员,2022-08-18 02:09:56
133,133,90.74,88.64,75.11,82.31,87.18,良,无明显限制因子,轮作倒茬，维护土壤生态平衡,2024-11-15,张教授,2025-02-19 17:11:42
134,134,68.84,80.0,81.06,87.14,77.16,良,无明显限制因子,合理施用石灰，调节土壤pH值,2024-03-21,陈博士,2023-03-26 14:22:06
135,135,67.11,80.03,77.07,81.82,76.97,良,无明显限制因子,深耕松土，改善土壤结构,2025-01-25,陈博士,2024-10-03 04:08:38
136,136,64.4,86.72,79.04,84.35,82.38,良,无明显限制因子,合理施用石灰，调节土壤pH值,2024-05-01,王研究员,2023-08-30 23:56:47
137,137,94.48,75.7,82.55,79.19,90.69,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2024-10-20,李专家,2024-07-17 02:04:57
138,138,67.75,82.12,82.03,78.1,90.77,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2023-05-22,王研究员,2024-09-19 05:54:03
139,139,73.21,86.62,66.66,78.5,81.48,良,有机质含量偏低,科学施肥，平衡土壤养分,2025-01-09,赵工程师,2023-04-07 21:28:55
140,140,75.97,75.89,67.35,78.22,89.03,良,有机质含量偏低,增施有机肥，提高土壤有机质含量,2023-11-02,张教授,2023-10-13 22:52:02
141,141,90.23,77.98,76.71,84.41,85.71,良,无明显限制因子,轮作倒茬，维护土壤生态平衡,2024-12-13,李专家,2024-03-18 09:16:25
142,142,65.72,82.27,81.75,80.57,75.61,良,无明显限制因子,轮作倒茬，维护土壤生态平衡,2024-10-05,王研究员,2024-10-22 18:16:45
143,143,74.79,82.83,82.35,80.67,84.86,良,无明显限制因子,轮作倒茬，维护土壤生态平衡,2022-10-16,王研究员,2025-01-11 19:23:12
144,144,67.72,75.81,65.17,77.88,86.19,中,有机质含量偏低,科学施肥，平衡土壤养分,2023-08-10,李专家,2023-07-04 09:40:22
145,145,81.4,70.13,67.07,86.96,91.99,良,pH值偏离适宜范围; 有机质含量偏低,科学施肥，平衡土壤养分,2024-03-16,张教授,2024-11-09 14:01:46
146,146,94.59,84.7,78.52,80.85,87.63,优,无明显限制因子,增施有机肥，提高土壤有机质含量,2024-06-16,李专家,2024-12-15 20:55:44
147,147,75.49,73.88,71.39,77.92,77.8,良,pH值偏离适宜范围,合理施用石灰，调节土壤pH值,2024-01-21,王研究员,2024-01-04 04:56:29
148,148,93.1,84.78,65.03,81.18,77.73,良,有机质含量偏低,增施有机肥，提高土壤有机质含量,2023-01-28,赵工程师,2024-08-12 09:12:31
149,149,92.78,74.69,69.73,80.91,77.67,良,pH值偏离适宜范围; 有机质含量偏低,轮作倒茬，维护土壤生态平衡,2025-06-04,张教授,2024-09-21 17:18:32
150,150,86.77,87.5,78.99,74.53,87.1,良,养分不平衡,深耕松土，改善土壤结构,2023-08-22,李专家,2022-10-12 17:35:10
151,151,77.64,76.74,76.26,86.87,87.0,良,无明显限制因子,合理施用石灰，调节土壤pH值,2022-07-25,赵工程师,2023-08-03 09:23:15
152,152,60.12,81.08,70.13,74.73,87.67,中,养分不平衡,合理施用石灰，调节土壤pH值,2022-11-09,李专家,2023-05-14 03:22:18
153,153,69.29,82.08,68.44,79.13,83.27,良,有机质含量偏低,科学施肥，平衡土壤养分,2024-10-29,王研究员,2022-08-08 05:13:06
154,154,80.54,72.6,70.73,85.43,87.19,良,pH值偏离适宜范围,增施有机肥，提高土壤有机质含量,2023-06-10,赵工程师,2022-11-15 13:57:42
155,155,75.28,87.49,73.16,75.46,75.23,良,无明显限制因子,科学施肥，平衡土壤养分,2024-01-25,李专家,2024-09-29 17:09:36
156,156,74.42,74.87,70.78,72.26,75.93,中,pH值偏离适宜范围; 养分不平衡,科学施肥，平衡土壤养分,2023-05-01,张教授,2023-11-20 23:27:22
157,157,89.61,83.83,66.83,78.28,76.09,良,有机质含量偏低,深耕松土，改善土壤结构,2023-08-04,陈博士,2023-07-03 12:20:28
158,158,90.83,83.72,67.91,70.37,75.44,良,有机质含量偏低; 养分不平衡,科学施肥，平衡土壤养分,2024-05-10,陈博士,2023-04-25 08:54:39
159,159,61.5,79.06,76.9,87.04,75.96,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2025-02-21,张教授,2024-06-03 13:17:54
160,160,83.37,84.34,79.61,77.13,79.03,良,无明显限制因子,科学施肥，平衡土壤养分,2023-02-07,张教授,2023-08-18 08:53:05
161,161,63.25,71.15,84.65,73.6,79.79,中,pH值偏离适宜范围; 养分不平衡,增施有机肥，提高土壤有机质含量,2023-09-24,陈博士,2023-06-10 03:22:59
162,162,60.18,80.07,71.36,75.74,91.14,良,无明显限制因子,轮作倒茬，维护土壤生态平衡,2023-01-21,王研究员,2024-03-13 02:27:46
163,163,77.97,83.26,73.47,84.36,78.54,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2024-01-08,赵工程师,2024-01-11 23:43:58
164,164,64.7,78.42,65.87,84.6,87.19,良,有机质含量偏低,增施有机肥，提高土壤有机质含量,2023-05-05,张教授,2022-11-18 17:38:07
165,165,80.16,82.36,84.47,84.5,88.72,良,无明显限制因子,增施有机肥，提高土壤有机质含量,2024-06-12,赵工程师,2024-11-17 07:46:16
166,166,87.14,82.45,79.51,86.2,80.73,良,无明显限制因子,合理施用石灰，调节土壤pH值,2023-03-09,陈博士,2023-10-25 07:23:49
167,167,65.39,87.78,71.32,74.46,84.39,良,养分不平衡,增施有机肥，提高土壤有机质含量,2023-11-21,王研究员,2023-03-09 19:19:51
168,168,85.73,77.19,76.44,85.94,84.74,良,无明显限制因子,轮作倒茬，维护土壤生态平衡,2025-02-12,张教授,2022-06-24 01:16:28
169,169,67.82,72.62,72.99,81.59,86.11,良,pH值偏离适宜范围,科学施肥，平衡土壤养分,2023-10-08,李专家,2022-09-02 08:54:42
170,170,82.82,83.46,76.98,70.9,84.12,良,养分不平衡,增施有机肥，提高土壤有机质含量,2023-08-16,王研究员,2024-05-19 09:01:28
171,171,76.5,82.32,81.37,86.19,81.0,良,无明显限制因子,轮作倒茬，维护土壤生态平衡,2023-10-10,赵工程师,2023-07-19 20:32:42
172,172,68.93,81.1,82.13,78.78,80.05,良,无明显限制因子,深耕松土，改善土壤结构,2022-06-18,张教授,2024-04-08 09:04:21
173,173,69.29,71.55,79.69,76.32,75.86,中,pH值偏离适宜范围,深耕松土，改善土壤结构,2024-10-06,赵工程师,2024-06-17 07:36:51
174,174,75.87,74.4,82.89,87.69,89.3,良,pH值偏离适宜范围,科学施肥，平衡土壤养分,2023-08-18,赵工程师,2025-04-02 11:23:35
175,175,63.78,84.46,74.29,72.59,89.44,良,养分不平衡,合理施用石灰，调节土壤pH值,2024-06-14,陈博士,2024-11-08 00:46:32
176,176,79.4,72.82,79.23,70.02,77.19,良,pH值偏离适宜范围; 养分不平衡,深耕松土，改善土壤结构,2023-09-12,王研究员,2023-03-12 18:24:58
