id,sample_id,iron,manganese,zinc,copper,boron,molybdenum,chlorine,sulfur,calcium,magnesium,test_date,created_at
44,285,230.02,49.98,6.7,6.35,0.78,0.35,68.17,88.19,5341.74,638.51,2024-08-01,2024-06-19 23:34:47
45,8375,235.18,74.95,8.78,1.19,0.91,0.79,152.16,364.83,6077.68,369.79,2024-09-16,2024-05-18 16:25:59
46,9815,238.52,32.81,7.79,0.5,1.53,1.4,114.71,362.4,3020.38,1125.18,2024-10-28,2022-10-10 23:42:24
47,74,147.75,21.56,10.96,2.23,1.16,0.24,63.45,165.32,3094.51,459.99,2022-12-29,2023-01-15 10:46:07
48,683,110.08,55.35,13.18,3.38,0.74,0.32,90.71,270.13,4158.53,424.82,2024-10-22,2024-05-16 02:46:17
49,347,240.02,126.84,2.96,5.95,1.16,1.34,85.84,105.39,6138.92,1704.8,2025-02-15,2023-10-12 07:23:31
50,2676,28.52,39.66,1.49,6.88,1.88,0.79,98.39,42.66,1515.8,1021.89,2023-11-28,2022-12-30 14:21:48
51,48,82.01,85.71,13.72,0.41,0.4,1.41,13.07,308.18,2397.97,1783.71,2023-02-02,2024-08-27 16:51:15
52,6344,139.02,130.43,2.57,6.38,1.05,0.66,55.71,309.72,1510.89,865.32,2024-10-08,2025-02-14 23:52:07
53,1925,255.32,47.38,8.75,0.34,0.31,1.09,96.35,227.32,559.13,257.33,2024-12-09,2022-11-26 10:44:02
54,6091,128.68,9.09,6.34,2.12,1.84,0.32,122.69,337.4,1093.62,1940.62,2022-10-23,2023-02-03 20:51:51
55,4092,137.88,44.41,8.41,1.92,0.98,1.1,194.95,332.52,4373.12,337.27,2024-02-07,2023-02-19 13:48:55
56,8148,151.09,101.13,12.89,5.92,1.09,0.93,64.01,370.26,943.36,1683.25,2022-08-20,2023-11-29 08:20:46
57,1314,96.68,66.59,14.99,0.43,1.67,0.13,47.5,357.54,1937.17,1011.27,2022-10-18,2025-05-17 22:49:34
58,8239,27.47,64.18,0.57,7.09,1.17,1.21,116.09,192.71,551.79,1268.84,2023-08-28,2025-05-16 18:01:02
59,2514,191.82,10.24,2.24,7.39,1.55,0.38,123.02,229.17,1435.87,1480.34,2024-12-04,2024-06-01 21:14:03
60,5558,56.97,85.48,8.67,5.36,1.36,0.07,137.05,217.99,7653.85,1173.08,2022-08-28,2022-11-07 02:06:36
61,8729,248.6,51.57,13.64,6.85,1.82,0.65,53.41,278.86,5044.47,1561.95,2023-06-28,2023-07-19 01:41:34
62,9838,281.45,115.92,13.78,2.96,0.38,0.21,132.96,183.5,6509.65,1150.03,2023-01-22,2024-12-19 13:01:11
63,5563,261.37,22.26,8.53,7.45,1.5,1.39,195.89,331.76,6283.31,1107.09,2023-02-11,2024-08-02 06:43:31
64,7226,260.19,122.82,5.01,4.46,1.49,0.82,152.2,366.11,6464.78,1792.69,2025-04-22,2024-01-26 17:37:33
65,3434,123.12,34.33,13.57,4.33,0.82,0.76,188.49,336.64,3478.56,989.61,2024-12-12,2023-08-23 14:06:17
66,6116,15.72,38.83,11.25,5.3,1.97,0.3,30.54,262.76,831.38,1695.81,2024-11-13,2023-06-17 00:23:22
67,5661,104.93,77.41,7.44,5.84,0.75,0.95,79.14,28.8,4173.94,1256.38,2024-03-05,2022-10-13 13:21:39
68,4070,38.97,103.37,11.59,6.17,1.62,0.08,58.37,254.91,7648.46,1773.98,2022-08-14,2025-05-05 20:55:45
69,3000,45.06,149.4,12.3,7.35,0.47,1.11,177.55,58.12,7052.36,907.5,2025-02-23,2022-11-16 03:08:40
70,3230,113.79,56.17,2.86,2.77,2.0,1.28,195.06,121.27,6817.06,205.56,2023-06-29,2022-10-11 15:20:01
71,2181,219.21,139.35,10.11,7.86,0.14,0.12,49.15,200.73,578.54,1640.73,2024-01-22,2023-04-02 13:21:59
72,5876,108.49,40.07,14.51,2.23,0.43,0.24,181.06,37.96,7382.85,229.05,2023-03-07,2024-08-27 23:02:22
73,6742,289.3,17.37,6.2,4.82,0.47,0.39,79.32,293.91,4719.2,1325.41,2025-05-14,2023-08-24 02:34:42
74,408,195.38,85.95,8.24,2.71,1.12,0.47,64.27,206.67,2551.49,911.09,2024-06-22,2023-08-17 09:07:04
75,2588,228.29,114.92,8.87,5.45,1.53,0.46,157.72,210.37,3923.31,842.47,2025-01-04,2025-03-04 17:35:30
76,6679,227.26,139.15,7.64,2.98,1.71,1.45,134.42,242.35,729.79,538.03,2023-04-01,2024-04-15 23:30:52
77,2380,118.91,143.94,14.51,4.6,1.9,1.32,89.5,99.53,3362.8,193.22,2023-09-27,2022-12-20 00:55:23
78,847,62.68,44.72,1.8,3.01,1.7,0.18,29.18,277.52,5450.45,112.5,2024-07-09,2023-07-28 00:29:50
79,561,164.67,142.23,12.5,6.82,1.04,0.77,133.07,206.59,2275.32,175.78,2024-04-21,2023-02-28 12:49:01
80,3388,273.28,23.11,0.96,2.26,0.83,0.15,175.03,35.75,7019.91,475.45,2025-01-18,2023-12-24 07:43:48
81,5328,288.09,92.84,5.81,3.03,1.43,1.47,148.78,368.74,7601.38,825.21,2022-09-13,2023-04-19 22:07:56
82,1720,292.95,132.99,10.03,5.64,1.14,0.32,93.37,303.46,7788.16,326.32,2024-12-10,2025-02-06 13:41:48
83,3170,174.54,46.46,12.02,7.67,1.74,0.85,106.1,147.7,6155.73,1157.0,2022-10-01,2023-03-02 14:48:10
84,6143,276.79,128.17,3.25,7.39,0.77,1.14,90.82,99.92,5925.34,870.09,2023-06-07,2024-09-04 18:27:52
85,7766,79.68,118.36,12.85,7.81,1.85,0.35,65.69,335.25,1315.4,1846.25,2025-06-01,2024-10-03 07:31:23
86,9537,204.59,65.44,3.7,2.62,0.38,0.29,62.0,70.8,1165.11,192.4,2025-02-28,2025-02-20 09:09:16
87,5822,149.95,64.06,9.75,2.97,0.91,0.66,59.48,55.7,4582.94,1872.18,2023-07-22,2022-07-07 01:37:50
88,2672,104.17,39.96,14.48,6.79,0.48,1.16,102.06,29.54,7226.13,1140.63,2024-09-28,2022-08-11 20:30:54
89,4471,242.58,18.51,7.73,7.89,1.64,1.41,159.85,31.28,7484.21,938.92,2023-04-11,2023-02-15 17:30:50
90,1798,101.9,42.41,12.82,3.56,0.64,0.4,164.48,65.83,6881.86,139.6,2025-04-10,2023-03-08 21:15:23
91,460,288.95,103.0,0.89,6.23,0.77,1.24,166.53,174.47,824.54,1498.58,2025-04-07,2024-03-13 09:26:29
92,123,125.61,54.15,2.46,5.82,1.44,0.7,159.95,394.98,3262.17,1550.47,2024-11-08,2024-11-18 17:27:10
93,4903,119.48,39.37,6.35,2.82,1.66,0.37,68.61,304.63,7082.57,273.88,2024-11-21,2024-03-16 14:03:02
94,894,93.63,22.16,2.05,6.76,0.68,0.26,75.49,67.7,2649.11,297.67,2025-05-15,2022-06-28 05:08:10
95,5723,204.75,73.3,6.29,3.55,1.74,0.75,92.28,89.28,7751.23,1513.77,2023-03-01,2025-04-30 23:58:53
96,1188,219.35,109.79,3.79,1.93,1.37,0.43,92.02,265.02,2879.19,1178.07,2022-07-25,2023-01-14 12:52:01
97,9351,147.34,59.85,2.79,6.83,1.98,0.78,97.99,216.71,4752.84,838.61,2022-12-29,2024-12-31 21:16:24
98,1856,55.85,99.51,1.37,6.02,0.82,0.87,70.26,46.7,1401.06,1597.44,2024-02-07,2024-09-10 22:52:41
99,9042,171.03,30.41,12.98,7.18,0.83,0.69,192.19,284.57,6677.86,1581.8,2022-12-19,2025-02-26 07:53:20
100,9828,76.31,7.14,10.9,6.01,1.54,1.44,154.36,349.34,4366.61,678.63,2023-10-14,2024-01-23 10:14:16
101,701,115.99,9.53,14.48,7.61,1.35,0.8,42.12,128.4,2102.78,1816.11,2023-03-24,2025-01-04 13:59:06
102,1066,119.1,60.05,1.62,0.44,1.8,1.48,67.08,397.82,7431.59,816.99,2024-03-31,2024-08-20 11:53:04
103,7780,193.9,112.53,3.99,2.74,1.42,0.32,159.69,213.18,4833.76,902.13,2023-01-18,2024-03-02 20:38:00
104,552,299.86,141.13,13.73,3.96,0.11,1.18,57.89,365.68,6437.86,1956.58,2022-10-04,2023-06-06 10:35:45
105,8407,202.04,38.61,8.43,2.49,1.03,0.41,127.46,322.47,2091.83,343.92,2023-04-22,2024-12-26 12:54:07
106,6065,296.63,79.31,14.12,1.65,1.5,0.75,179.94,61.41,5337.07,1941.31,2023-09-28,2025-05-10 03:11:44
107,545,246.28,104.13,5.2,4.32,1.26,0.33,185.1,117.45,2142.06,296.76,2024-10-18,2025-02-26 14:27:23
108,2655,214.2,132.21,14.72,6.1,1.1,1.21,119.84,27.56,7040.83,1302.61,2023-06-05,2023-12-25 11:21:23
109,4300,268.85,31.81,9.91,3.12,1.05,0.24,90.33,306.85,4763.84,158.06,2025-03-13,2022-09-23 20:46:08
110,5083,177.52,90.8,8.33,2.07,0.55,1.17,142.69,339.14,6306.61,1271.97,2024-07-01,2024-12-31 14:43:08
111,6309,107.51,39.3,4.74,4.53,0.27,1.31,86.13,152.32,7100.03,953.15,2024-01-24,2024-07-13 00:48:13
112,2422,87.2,45.1,2.27,2.97,1.99,0.79,47.06,220.37,6549.15,1405.86,2024-11-19,2024-05-14 05:29:24
113,2515,64.2,63.33,1.38,1.26,1.66,0.45,87.51,306.9,5515.44,1386.47,2024-05-02,2025-02-04 15:06:55
114,9563,176.53,42.55,9.75,1.13,1.64,0.57,142.96,368.53,718.12,584.88,2023-04-11,2023-06-27 15:51:19
115,7978,245.86,81.99,8.82,2.27,1.05,1.07,60.88,193.52,7192.25,342.91,2023-10-15,2024-06-30 11:12:33
116,2951,236.53,64.36,5.7,1.09,0.64,0.96,120.17,171.4,6106.51,1207.22,2023-06-09,2022-12-01 21:44:52
117,9269,207.71,7.95,14.43,2.2,1.79,1.23,61.26,106.65,1812.49,338.99,2024-02-22,2024-10-15 06:09:54
118,6600,36.02,76.41,4.97,3.78,0.14,0.9,79.51,235.97,5871.58,284.95,2022-09-30,2024-04-30 12:57:01
119,7049,129.13,61.91,10.3,3.47,1.95,0.52,90.95,147.85,5583.19,721.32,2025-02-22,2024-01-27 11:42:05
120,2109,225.83,54.63,7.54,7.17,0.36,0.79,97.38,220.6,6787.17,1165.38,2023-01-31,2023-09-02 05:39:32
121,3077,109.02,21.79,0.81,0.81,1.68,0.61,92.48,365.57,6226.66,1477.86,2023-11-30,2022-10-20 11:26:48
122,8565,142.03,19.91,8.94,2.99,0.61,0.73,149.28,103.23,544.65,1210.66,2022-08-09,2023-06-24 07:51:37
123,4557,292.73,52.31,2.5,1.04,1.09,1.14,82.47,146.14,6581.29,1370.34,2022-09-04,2024-06-06 20:27:21
124,9301,116.76,29.03,11.82,5.69,0.18,1.05,180.96,309.04,3908.71,277.49,2022-12-03,2023-12-29 09:27:17
125,91,144.19,96.47,10.72,4.09,0.81,0.82,109.21,204.4,1660.22,891.18,2025-02-27,2024-10-15 12:47:23
126,7471,72.26,140.41,5.82,0.52,1.05,1.0,137.26,370.28,7757.6,1502.07,2024-10-11,2024-07-09 12:10:26
127,4872,10.3,43.59,11.23,1.01,1.56,0.6,136.11,329.76,645.11,1849.48,2025-04-29,2024-12-02 14:43:27
128,6824,269.27,27.09,10.81,0.42,0.65,1.36,133.88,144.38,3684.04,1373.38,2022-06-28,2024-01-24 22:35:45
129,6886,162.4,99.33,10.07,6.51,1.57,0.3,24.0,110.08,2034.08,1514.44,2022-12-20,2022-06-23 07:36:17
130,8667,50.49,17.88,4.81,1.92,1.49,1.23,37.62,91.29,6599.3,1805.23,2024-07-09,2022-09-29 05:03:32
131,5306,79.01,43.25,0.88,7.62,0.3,1.26,105.06,213.79,7178.45,1244.52,2023-06-08,2025-05-26 15:07:09
132,8829,127.62,122.06,9.63,3.0,1.78,0.15,52.88,120.71,7651.76,1423.69,2024-12-06,2025-03-08 21:30:38
133,2073,15.29,14.32,14.81,7.84,0.53,1.11,81.85,118.3,2340.9,199.38,2024-03-23,2025-04-20 22:09:01
134,253,176.15,134.81,10.51,0.23,0.2,0.71,103.08,225.26,4525.86,307.77,2025-05-27,2024-04-23 14:21:48
135,3178,95.4,66.18,8.47,2.63,0.63,0.4,39.04,381.62,6264.85,1308.05,2022-08-05,2025-05-01 10:58:07
136,540,75.93,54.35,13.49,7.46,1.97,0.19,31.8,327.02,2910.2,1848.89,2022-07-06,2022-07-04 17:10:54
137,1697,77.37,17.33,4.09,5.18,0.33,0.32,130.06,251.24,4874.32,1206.84,2023-04-29,2023-11-04 01:22:57
138,5667,52.31,145.92,6.24,5.53,1.77,0.91,157.31,113.17,4215.7,542.51,2023-05-21,2023-08-04 20:13:33
139,3092,209.3,45.85,11.27,3.99,1.8,0.1,192.21,282.45,1615.09,1939.66,2023-01-24,2023-12-21 18:04:36
140,3440,184.55,10.9,3.52,6.19,1.53,0.22,153.4,147.39,1463.92,1129.76,2023-12-19,2023-01-14 06:53:53
141,2124,153.0,50.87,12.1,6.87,1.85,0.06,161.44,245.09,3579.77,1021.87,2025-06-06,2022-11-09 04:08:44
142,3568,64.37,15.18,14.88,1.43,1.42,0.56,101.22,33.89,4559.34,1193.91,2022-09-26,2023-03-31 02:07:39
143,778,259.72,119.42,4.66,6.58,1.54,0.66,48.47,52.09,6279.48,364.42,2022-06-28,2022-12-28 14:30:07
144,8213,60.19,42.98,9.95,5.07,0.56,1.01,70.97,221.32,2550.2,1645.17,2023-02-13,2024-03-27 06:26:45
145,1824,189.62,25.35,9.23,1.7,0.62,1.28,134.11,192.97,4681.55,858.7,2024-08-14,2024-12-09 19:23:54
146,5763,249.23,14.63,2.21,3.13,0.19,1.13,68.26,160.59,942.92,134.12,2025-03-29,2023-07-16 04:44:11
147,3153,15.04,121.8,8.47,3.09,1.13,1.34,82.99,322.19,4254.08,159.87,2023-10-28,2025-03-31 06:05:07
148,7717,94.84,121.61,2.29,5.69,1.84,1.17,144.73,299.75,1946.45,1713.47,2024-10-04,2025-02-18 00:01:06
149,2486,109.39,98.11,9.47,4.77,1.78,0.24,178.17,139.63,4830.71,1642.01,2022-09-08,2025-02-18 07:43:15
150,29,197.0,96.91,5.66,2.95,1.49,0.52,28.62,34.94,3159.44,857.28,2022-07-11,2023-03-26 22:38:41
151,5236,161.91,12.86,4.62,6.72,1.17,1.26,188.31,130.35,2676.24,1332.88,2024-07-30,2024-02-27 10:17:04
152,7043,225.16,46.3,12.48,6.74,0.62,0.12,13.95,189.95,6198.51,970.69,2022-06-23,2024-03-01 11:47:27
153,4304,262.51,56.35,7.52,6.46,1.94,1.25,52.49,191.21,2293.39,184.56,2023-01-22,2024-04-03 03:57:18
154,6316,213.4,24.43,6.16,0.36,0.73,0.81,104.65,269.01,5165.41,126.76,2024-11-10,2024-05-22 01:18:50
155,8748,298.74,52.98,4.51,7.67,0.39,0.96,59.13,122.46,625.66,1867.88,2024-07-15,2023-12-27 06:32:21
156,2366,152.3,92.79,12.96,4.12,1.74,0.37,37.83,243.62,5052.52,384.14,2022-09-26,2022-08-04 01:22:22
157,3755,258.79,121.23,14.23,6.46,0.66,1.16,117.4,245.05,818.18,1114.76,2022-09-28,2023-09-24 04:18:33
158,2035,214.79,73.09,4.0,2.73,1.09,1.09,22.33,271.65,6762.58,415.82,2024-05-05,2022-12-08 07:25:21
159,2172,238.61,13.32,3.93,3.4,1.3,0.86,63.84,139.26,6885.71,274.31,2022-07-27,2024-09-10 15:12:49
160,8795,257.09,134.76,11.55,1.56,0.69,0.05,33.12,385.2,3051.34,1629.82,2024-12-31,2023-06-25 08:11:23
161,7112,205.72,145.91,6.87,3.99,0.21,0.99,79.4,91.32,1613.52,438.69,2023-05-12,2024-12-27 06:21:15
162,2320,192.06,136.61,6.16,2.21,1.76,0.6,60.04,385.74,3245.58,1854.33,2024-09-10,2024-07-13 21:12:57
163,4710,209.25,27.1,8.9,1.34,1.49,0.22,54.08,280.17,6227.28,648.31,2025-06-07,2022-11-23 08:48:21
164,6628,240.74,11.46,4.1,3.2,1.79,0.98,190.19,174.81,4630.45,1365.09,2023-11-25,2022-09-20 01:39:58
165,9639,237.52,102.5,14.5,2.37,0.99,1.19,186.87,191.22,1289.69,199.39,2024-08-05,2025-03-01 02:50:49
166,2129,120.51,118.34,2.18,4.26,0.36,1.1,31.55,119.58,633.08,694.14,2023-06-02,2024-03-03 09:31:17
167,6216,288.73,149.75,9.15,7.61,1.6,0.88,39.68,320.38,1713.14,670.09,2023-12-13,2023-04-05 23:46:37
168,3414,27.47,139.04,5.44,1.91,1.36,0.85,119.7,29.81,1078.46,329.29,2023-10-17,2023-04-21 09:54:55
169,1387,283.69,147.77,5.46,0.96,0.81,0.52,73.71,374.06,1827.42,174.22,2025-05-13,2022-11-24 13:44:50
170,1879,122.31,109.62,9.74,1.09,0.21,1.18,97.21,377.29,5934.86,1815.26,2025-04-06,2022-06-20 21:54:32
171,1673,43.48,147.31,3.84,3.33,0.32,1.2,29.51,363.25,5064.77,1143.71,2023-06-11,2023-11-27 14:50:33
172,5782,90.22,72.11,5.31,6.13,1.92,0.45,124.72,87.34,4143.16,202.55,2025-03-19,2025-05-13 15:54:18
173,7784,34.04,93.44,3.72,5.22,0.82,0.69,124.83,273.3,1935.13,622.3,2024-06-25,2025-02-28 11:27:37
174,6786,291.87,133.0,3.32,4.94,0.94,0.07,111.26,382.62,5957.56,1936.35,2023-05-29,2023-03-12 06:56:33
175,1364,213.17,57.0,10.43,1.01,1.23,1.1,29.94,258.76,3515.77,1453.69,2023-12-06,2022-08-07 03:33:24
176,3405,181.06,89.47,12.42,5.6,0.37,1.18,103.99,178.59,2951.54,721.16,2023-04-23,2024-01-09 16:12:16
177,3902,194.32,43.38,11.62,1.6,0.13,1.4,198.63,229.27,6849.42,1206.4,2023-03-21,2022-11-06 10:42:51
178,8533,181.15,92.46,8.39,4.25,0.49,0.58,48.59,26.01,6188.51,719.91,2024-07-24,2023-10-24 23:53:25
179,1784,60.03,95.17,12.45,3.58,1.66,0.46,107.88,140.57,5305.21,1701.92,2023-02-28,2025-05-14 00:47:56
180,9647,122.23,16.88,12.96,3.25,0.46,1.21,172.21,37.8,6177.4,648.83,2024-04-25,2024-04-30 05:16:25
181,4110,240.97,9.75,0.91,7.71,0.99,0.83,119.31,95.22,1274.89,316.39,2023-08-21,2023-12-08 14:52:57
182,9972,44.7,32.49,13.22,1.34,1.25,1.34,19.33,364.94,4144.33,1974.18,2024-01-10,2023-03-11 14:40:32
183,2211,36.18,29.56,0.82,2.99,0.56,1.49,49.83,283.23,1494.2,141.18,2023-04-17,2023-05-12 00:14:51
184,490,183.12,68.89,8.99,1.72,1.32,0.31,173.65,84.28,3306.23,1096.83,2024-12-25,2023-10-26 15:56:58
185,2423,95.37,74.72,9.96,5.25,0.83,0.39,48.43,103.37,606.03,1381.08,2024-09-25,2024-11-16 08:19:51
186,7803,72.55,31.84,13.29,5.62,1.51,1.44,144.37,246.58,4870.23,1576.65,2024-02-09,2024-10-08 22:01:35
187,6793,261.72,16.71,5.88,5.93,1.16,0.44,79.63,369.57,1833.36,225.6,2022-09-10,2022-06-12 15:07:46
188,7299,142.38,68.79,5.35,1.47,1.54,0.22,89.34,54.9,2232.59,111.96,2023-08-26,2024-08-24 21:02:40
189,3577,87.69,61.49,1.16,2.79,0.47,0.33,49.44,28.62,4506.99,131.75,2022-07-29,2024-07-09 03:39:41
190,3464,168.9,15.83,6.84,6.86,0.27,0.92,53.42,363.63,1496.47,801.17,2023-02-15,2025-02-28 11:54:38
191,3765,83.41,29.31,8.49,3.36,1.09,0.29,161.17,254.05,1394.47,1098.37,2024-08-08,2025-05-30 03:42:10
192,458,234.28,78.1,2.53,2.32,1.21,0.6,26.75,330.92,862.23,1429.46,2024-01-22,2023-04-08 13:14:36
193,8850,169.87,121.13,14.96,6.83,0.93,0.26,80.87,342.15,7167.3,127.82,2022-11-03,2023-01-21 21:53:57
194,5638,93.84,83.56,9.97,3.73,0.44,1.31,69.28,265.38,6114.32,1744.87,2022-11-25,2022-07-20 01:14:18
195,7484,141.37,10.24,7.86,2.53,1.23,0.74,16.31,279.36,1097.09,176.08,2024-01-01,2023-01-22 11:35:34
196,4492,57.15,87.28,7.67,4.23,1.03,0.99,64.21,212.26,1544.97,580.69,2023-10-15,2023-02-08 08:17:53
197,3878,172.05,25.56,6.84,4.59,0.29,1.0,195.25,171.96,4471.21,729.5,2024-08-04,2024-10-01 06:43:54
198,8602,254.66,119.97,2.58,7.08,1.9,0.18,179.74,236.68,952.89,1289.69,2024-03-15,2023-11-05 18:20:02
199,709,91.34,81.04,7.86,4.83,0.1,0.64,143.55,74.66,7507.34,1038.16,2024-11-01,2024-06-17 08:02:45
200,6624,268.98,146.94,14.61,5.67,0.55,0.2,58.75,114.24,6586.96,398.23,2024-07-31,2023-01-18 08:44:08
201,1343,101.39,64.38,13.7,7.42,1.25,0.46,51.55,233.15,751.63,736.27,2022-10-21,2024-02-06 22:26:08
202,7449,207.82,96.76,5.23,6.31,1.66,0.38,172.0,365.57,1036.8,997.37,2022-08-26,2024-07-31 19:39:52
203,2709,138.93,39.0,9.09,1.26,1.57,1.03,56.53,387.78,2207.5,1199.04,2023-12-24,2024-01-12 03:57:07
204,2718,272.58,69.98,1.93,6.65,2.0,0.21,94.81,170.93,7733.66,1249.23,2023-11-29,2025-04-11 03:08:13
205,2430,24.0,132.99,8.46,2.61,1.7,1.47,51.68,312.38,7662.63,396.52,2024-10-29,2023-12-21 11:44:26
206,4672,277.27,123.88,3.64,4.73,1.75,1.08,152.38,25.34,5500.13,646.89,2023-04-25,2022-12-26 22:42:38
207,8974,166.56,57.45,10.23,0.77,1.23,0.65,188.85,151.48,6582.2,274.53,2023-01-20,2023-12-28 17:10:44
208,2930,220.67,134.15,8.81,1.77,1.46,1.41,47.38,94.38,5371.54,127.07,2024-10-26,2022-06-18 09:06:36
209,5320,41.19,65.46,7.95,0.67,0.5,0.47,26.49,48.78,1495.01,694.43,2023-02-06,2025-06-09 17:33:54
