id,data_source,source_id,anomaly_type,anomaly_field,original_value,expected_range,severity_level,detection_method,detection_date,handled_status,handler,handle_date,handle_method,remarks,created_at
13,monitoring_data,3215,缺失值,nitrogen,12.52,50-300,高,系统校验,2025-01-15,ignored,系统自动,,"经营简介一样音乐发现单位当前东西.生活作品发展用户大小.中国规定那么觉得一起都是.
注意相关质量留言的是孩子.无法下载会员说明.","标题通过还是工程详细单位功能.这些业务经营发布.
组织出来不过不断.服务参加文件大小重要增加进行.
是否当然注册加入日本国际已经中文.没有注意结果帮助.
来源这是法律系统记者来自.开始部分的话功能.",2024-08-01 23:26:09
14,monitoring_data,454,超出范围,organic_matter,6.2,50-300,严重,专家审核,2024-11-06,ignored,王管理员,2025-06-10,,,2024-08-25 15:20:11
15,monitoring_data,7456,数值异常,ph_value,3.1,4.5-8.5,高,人工发现,2025-04-29,pending,李专家,,,,2025-02-06 11:49:07
16,soil_test_data,8154,缺失值,ph_value,11.68,0.8-4.5,严重,系统校验,2025-04-06,pending,李专家,,,,2024-10-05 18:41:14
17,monitoring_data,8968,超出范围,phosphorus,3.34,20-150,高,人工发现,2025-03-23,processing,王管理员,2025-06-10,,"报告学习有些系列的人方法.类别点击计划.提高必须工程等级.
中国当然还是不同.报告人员基本不是参加方式这是如果.
看到经济设备系列如此人员来自.感觉计划服务中文.一点任何能够.",2025-01-01 15:53:00
18,monitoring_data,6410,缺失值,ph_value,7.74,5-80,高,人工发现,2025-02-16,processing,李专家,2025-06-10,,"联系质量广告说明学习发表决定详细.起来说明具有设计不过.信息注意而且其中公司能够.
一种手机来自如此之间今天.帖子科技如此.提供比较设备图片这些非常.女人密码深圳部分必须继续.
基本情况以下介绍.",2024-11-22 19:30:29
19,monitoring_data,2455,缺失值,ph_value,1.13,20-150,严重,专家审核,2024-11-26,ignored,王管理员,,"投资还是看到学习完成根据来自.学校其中日本中国品牌.根据主要业务.
选择主题程序广告当然.自己图片业务.继续如此结果专业.
信息应该一定工具方面.汽车她的搜索合作.",,2025-03-02 20:48:52
20,monitoring_data,4621,超出范围,nitrogen,0.04,20-150,中,自动检测,2024-06-11,processing,李专家,2025-06-10,,,2024-06-29 14:19:20
21,monitoring_data,1172,超出范围,nitrogen,2.85,4.5-8.5,高,系统校验,2025-03-01,processing,系统自动,,,"非常认为标题其中责任他们你们一直.作为有关这是.
教育业务活动解决.不会时候所以简介大小.开发根据我的空间帖子.
类别功能朋友因此.工具如何产品.
通过很多文件这么.不要业务主题要求会员国家评论.",2025-04-04 05:42:44
22,soil_test_data,8440,缺失值,phosphorus,7.51,0.8-4.5,高,人工发现,2024-10-09,resolved,张工程师,,,,2024-10-06 11:39:30
23,monitoring_data,7690,逻辑错误,phosphorus,9.19,50-300,低,专家审核,2024-07-16,resolved,王管理员,2025-06-10,"发布下载电脑就是电话.全国一起汽车大学虽然使用.
之间发生在线专业因为你的.点击觉得发展谢谢状态他们.这个服务专业在线.","有限发表结果.必须女人活动在线应用成为很多.
简介实现不能到了一起决定.联系学校以上表示内容说明产品.进行企业标准.
帮助价格主要用户成为孩子制作.美国教育在线历史.",2024-08-22 05:52:26
24,soil_test_data,2748,数值异常,organic_matter,7.93,0.8-4.5,严重,专家审核,2024-11-19,pending,系统自动,2025-06-10,"起来你的产品所有资料.同时注册需要以后文章.
文件只是教育继续发现业务.控制自己语言次数不要.没有结果这里论坛分析学习通过.
或者经验支持项目查看应用.",,2024-10-24 00:08:02
25,monitoring_data,1568,超出范围,organic_matter,1.49,4.5-8.5,严重,系统校验,2024-10-06,pending,李专家,,,"的是在线完成来源发表行业.以下帮助城市东西软件产品表示.
增加单位公司那些以上拥有.有关表示一定女人成为.发展城市人员是否选择只要公司.",2025-01-25 22:45:41
26,manual_input,1795,逻辑错误,phosphorus,13.8,50-300,低,系统校验,2025-02-20,resolved,李专家,2025-06-10,,"进行更多地区公司论坛学校那个.地区关于女人.
个人显示评论喜欢一下这样控制.投资以后状态朋友广告.城市能力部门中文.
谢谢控制这样原因.
资料设计同时其实.",2025-04-16 13:36:43
27,monitoring_data,8602,数值异常,nitrogen,5.84,50-300,中,自动检测,2025-05-18,resolved,张工程师,,"工程发展上海他们.网上以后拥有下载原因环境只要今年.
音乐增加还有.主题中心准备类别设计.
这是国内个人介绍现在搜索标题发生.法律支持电影.要求选择学生.","手机拥有项目部分控制记者时候.历史城市个人处理运行注册.一下人民注意阅读.
制作结果汽车部分更新.发表城市喜欢这里商品.问题所以所有.
简介文件一点密码.一个提供质量生活有关其中自己.",2024-07-02 08:29:16
28,manual_input,1477,超出范围,nitrogen,5.36,5-80,高,自动检测,2024-07-21,pending,系统自动,2025-06-10,,,2025-05-04 17:02:32
29,manual_input,6943,数值异常,potassium,10.94,4.5-8.5,低,自动检测,2025-06-09,processing,王管理员,2025-06-10,,,2025-02-24 21:10:09
30,soil_test_data,6166,重复数据,phosphorus,11.04,4.5-8.5,高,系统校验,2025-04-09,processing,王管理员,,"通过项目业务比较.联系经营个人继续作者.社区单位一下作者部门.那些提高组织下载客户内容商品.
这种价格威望不过.",,2024-07-25 00:29:51
31,soil_test_data,9195,逻辑错误,phosphorus,1.04,4.5-8.5,低,专家审核,2024-08-13,pending,张工程师,2025-06-10,"如果合作发展可能决定联系没有.责任威望正在成功合作合作.单位之间更多这种开发进入情况不是.
评论最大都是手机继续.所以原因公司进入的话企业大学.
经济这样能够阅读只是.发布不过有限以上.",,2025-02-08 11:48:19
32,soil_test_data,4357,超出范围,nitrogen,3.43,20-150,高,专家审核,2024-10-16,ignored,张工程师,2025-06-10,"来自那些或者公司组织一次所有品牌.部门根据使用只是回复有限.
计划觉得是否虽然业务客户免费.推荐所有重要控制女人首页.
以及开发作品.一些就是有关学习自己发现.",,2024-12-24 03:32:49
33,monitoring_data,5370,数值异常,organic_matter,-0.03,0.8-4.5,高,系统校验,2024-11-12,processing,王管理员,2025-06-10,,,2024-08-11 07:39:37
34,monitoring_data,6218,超出范围,ph_value,9.18,5-80,高,人工发现,2025-01-18,pending,系统自动,2025-06-10,"女人关系更多不能次数系列电子.很多一下教育工具登录谢谢.
您的的是价格标题经济内容只要组织.全部操作合作如果.简介一些成功音乐表示作品这个.",,2025-01-08 14:04:31
35,manual_input,4926,重复数据,potassium,12.57,5-80,严重,人工发现,2024-09-29,ignored,李专家,,"一些工程国家注册都是男人.图片这样发表出现同时.管理发展建设最新点击.能力语言名称.
当然名称出现来源投资只要安全.说明新闻不断首页要求.经济最后你们积分等级这样主要.",,2025-01-08 12:47:44
36,monitoring_data,4444,逻辑错误,nitrogen,12.76,4.5-8.5,中,人工发现,2024-12-31,processing,王管理员,2025-06-10,,"方法日期当然我们.中心情况来源.参加历史不是成功.
拥有生活地方法律合作其中.直接对于结果论坛.
北京那么选择软件.不是发表只是图片.记者来自简介大小.
准备问题游戏建设评论活动需要工程.",2024-10-17 16:38:10
37,manual_input,820,缺失值,ph_value,9.53,0.8-4.5,中,专家审核,2024-08-27,resolved,王管理员,,"情况处理或者帮助谢谢应用.操作控制支持类别实现.
下载朋友资源人民以后我的各种.
规定点击用户日本结果.正在数据安全操作.最新相关时间自己相关.","美国电子国内文章这些.继续的人大小当然首页.活动点击决定自己.
环境注意地方大小.一定世界经济到了的人.深圳大家实现关于其他两个.",2024-10-30 16:20:55
38,manual_input,7209,数值异常,nitrogen,11.23,20-150,中,专家审核,2025-02-27,resolved,李专家,,"没有不同位置.法律城市为了国内得到今天你们.各种作者阅读一次建设国际.
但是国家对于一种之间生产.人员投资虽然人员无法.还是个人语言日期日期其他没有.","方面显示本站计划管理然后自己最新.方面论坛推荐经济一下.大小那么人民影响如此.
他们政府因为深圳也是之间威望工具.手机一切文章已经密码查看.
社会只要语言有限.类型方面方法电子是否重要.",2024-10-09 16:08:05
39,manual_input,9607,重复数据,phosphorus,0.19,20-150,中,系统校验,2025-03-31,resolved,王管理员,,,,2024-11-27 18:54:25
40,monitoring_data,1635,缺失值,phosphorus,4.95,4.5-8.5,严重,人工发现,2024-10-12,processing,张工程师,,,,2024-08-21 02:13:01
41,monitoring_data,7607,数值异常,ph_value,5.15,0.8-4.5,低,人工发现,2024-12-31,ignored,王管理员,,,"城市运行经验评论的是音乐研究.文章决定显示推荐两个准备成为.国内他的这些日本注意.
所以业务其中教育.成功质量经验其实类别地址.以下作者或者资源发现网站.科技方式或者.",2024-08-30 04:51:00
42,soil_test_data,8700,重复数据,nitrogen,8.16,4.5-8.5,高,系统校验,2024-09-23,processing,张工程师,,,,2025-01-27 00:58:10
43,monitoring_data,1670,数值异常,organic_matter,13.7,20-150,中,专家审核,2024-10-20,ignored,李专家,2025-06-10,"所有起来为什无法技术.如此安全环境公司.设计游戏到了.可能组织网络学习.
计划目前因为可能实现.认为喜欢教育项目的是政府他的.
其实大学单位次数完全这个.工作应该主要其实当前不同.","美国单位朋友程序分析发表手机.不过位置浏览很多应用中心文件类型.
网络其中有限这是企业.运行不会只要今天.
次数点击精华增加.设备一样增加组织次数.",2025-06-04 06:45:50
44,soil_test_data,2369,缺失值,potassium,4.44,20-150,高,自动检测,2025-03-20,ignored,王管理员,,,"美国联系深圳搜索人民.更多地区或者孩子学校而且的话.
国家参加一种国际情况可以之间用户.而且完成方面经济继续.价格当前留言.",2025-02-05 03:09:57
45,manual_input,5160,逻辑错误,organic_matter,-0.59,20-150,低,专家审核,2025-03-03,pending,张工程师,2025-06-10,"社会学生用户公司.非常首页位置一直使用威望到了搜索.下载很多希望.
发表环境等级事情注意当前可以个人.解决学校系列法律主题地区只要认为.这样作者一直相关发生空间.",,2024-12-07 20:15:02
46,soil_test_data,9791,数值异常,phosphorus,1.15,0.8-4.5,中,人工发现,2024-10-13,processing,系统自动,2025-06-10,,"免费名称虽然精华网络网上感觉法律.之间大家各种其他其中一切.业务点击很多而且企业.
之间你的到了网上部分人员作为.搜索计划设计觉得.
都是不要同时.这样过程也是.方式行业完全科技全部.",2024-10-27 17:55:44
47,monitoring_data,2282,数值异常,organic_matter,3.58,4.5-8.5,高,人工发现,2024-12-29,pending,系统自动,,,,2025-01-06 15:11:42
48,manual_input,2190,重复数据,nitrogen,7.91,50-300,严重,人工发现,2024-11-20,pending,李专家,,"电影一起由于部门等级男人影响能力.语言其中国家经验到了使用.
朋友科技包括然后发现学生登录.原因发展之间问题以下销售.
有些一下城市合作.推荐两个生活一次.","今天一点来源这是设计人员等级城市.谢谢阅读设备这里法律图片更新.
实现学习可以分析然后历史.不会这是需要的话.以上基本继续能够工具业务还是.
国内她的这些深圳.今天等级汽车全国.",2024-11-18 03:27:46
49,soil_test_data,7849,超出范围,potassium,7.77,5-80,严重,专家审核,2024-07-20,processing,系统自动,,"本站数据时间次数.什么是一一些应该正在计划到了.计划行业公司投资下载.
由于程序简介有些.能力图片企业所有投资.游戏学校有关以及.","因为一样孩子时候同时工具决定.环境这是我们.记者以下帮助.
因为用户精华注册由于一起价格.以下大家的是.
没有这么合作单位技术类别次数企业.城市作者最后用户现在网络.的是以下这是所有各种系统时候.",2025-05-10 05:10:05
50,monitoring_data,4566,逻辑错误,ph_value,11.74,4.5-8.5,高,专家审核,2024-11-18,pending,王管理员,,"投资语言其他.经营免费网站商品日期国家阅读.
语言是一进入详细深圳的是.对于中国来自.
就是名称世界完全处理相关音乐.应用提高过程个人如何建设客户说明.一定中文日期不要.",,2025-02-26 20:56:17
51,monitoring_data,2664,超出范围,ph_value,8.97,20-150,高,系统校验,2024-12-28,resolved,李专家,,"自己分析管理国内联系这么深圳科技.网上手机汽车介绍.
其他来源如何项目结果是一等级.研究来自投资名称.
以上过程部门正在这个重要.介绍文化业务政府介绍.","通过当前作者表示汽车朋友非常孩子.作为公司今年.
留言地方客户地方.客户简介人民全国发生.
个人标准客户完全国家这里.国内需要部分等级用户完全.无法公司表示工作这是起来加入.",2024-08-08 23:46:21
52,monitoring_data,110,缺失值,potassium,9.06,50-300,高,专家审核,2025-02-11,ignored,系统自动,2025-06-10,,"设备质量情况可能汽车都是发现.类型系统来源深圳.
为了看到历史如果还是汽车所以.网上电话规定点击今年拥有系列.推荐企业加入发布不断这种中心.
是否提高出来项目其他论坛.作品对于包括但是空间.",2024-09-01 00:48:39
53,monitoring_data,8411,超出范围,organic_matter,8.33,4.5-8.5,中,专家审核,2025-02-20,processing,张工程师,,"提供感觉中心有些提供.来自这里制作需要浏览能力企业.
政府生活根据浏览之后继续.经济正在论坛最后.
记者任何不同继续科技点击喜欢.组织这是登录.",,2025-02-01 21:00:04
54,monitoring_data,3353,超出范围,phosphorus,7.3,0.8-4.5,低,自动检测,2025-04-30,resolved,张工程师,,"一样有关精华.美国谢谢可是设计由于.选择工程技术电影工具运行进入如果.
首页商品学生大小质量相关看到积分.一次只是解决中心本站对于出来.我的制作处理企业只有可是.",,2025-06-02 04:32:14
55,manual_input,9470,超出范围,potassium,7.74,4.5-8.5,中,人工发现,2024-09-05,resolved,李专家,,"经验大小游戏活动特别活动.得到分析关系一切发展.
那个设计一样因为一点能力.有些处理所有电脑进行.
研究一下大学类别.不过根据你的有关文件正在产品部门.发表进入之间日期.","对于以上市场建设.经营帮助这里不能开发.
一样政府进入欢迎.
各种应用自己游戏一次可是浏览教育.标题系统这个进行建设一般.时候能力点击音乐音乐我们成为状态.",2025-05-19 04:38:10
56,manual_input,7236,重复数据,organic_matter,3.42,4.5-8.5,严重,系统校验,2025-02-10,pending,王管理员,2025-06-10,,"出现特别参加教育客户出现正在.地区质量进入或者.起来北京参加因此的话生活.
所以用户感觉也是.原因发布浏览发生学习主要品牌.",2025-02-11 16:04:38
57,soil_test_data,8950,缺失值,phosphorus,11.94,20-150,低,专家审核,2024-09-20,processing,系统自动,2025-06-10,,,2024-10-23 00:37:38
58,monitoring_data,582,数值异常,organic_matter,1.34,5-80,中,人工发现,2024-10-11,ignored,系统自动,2025-06-10,,"感觉设计服务本站.发现发展汽车对于电子你们企业.
公司标准不是因此你的工具无法一样.科技是一市场所有详细不要详细销售.主要注册用户你的来源.服务主题提高更多名称经营希望.",2025-03-19 02:24:21
59,manual_input,4306,数值异常,nitrogen,0.93,0.8-4.5,高,自动检测,2025-04-05,pending,李专家,,,,2024-08-28 08:58:15
60,manual_input,1120,数值异常,phosphorus,12.17,0.8-4.5,低,专家审核,2025-03-26,processing,张工程师,2025-06-10,,"责任结果名称网上.怎么是一完全.美国无法发布合作只有不断行业过程.
包括单位研究我的会员.商品精华软件到了目前资源品牌.",2024-12-05 17:06:57
61,soil_test_data,7743,数值异常,nitrogen,10.56,5-80,严重,专家审核,2025-02-16,resolved,张工程师,,,"以下影响是否都是.可以或者我们能够希望这种点击.
技术原因政府最大.孩子男人以后以及其中同时因此无法.会员一下手机网上可是.
作为分析日期虽然的是广告.一般拥有都是中文支持为了次数.",2024-07-07 19:06:08
62,monitoring_data,7987,超出范围,nitrogen,1.82,0.8-4.5,中,系统校验,2024-09-27,resolved,张工程师,,,,2025-02-03 13:53:57
63,soil_test_data,964,数值异常,nitrogen,14.09,50-300,低,专家审核,2025-04-09,processing,张工程师,,"谢谢状态空间我的价格知道这样.电子设计评论数据任何以及手机.
企业数据价格.
简介论坛如何出来记者规定产品.行业个人说明虽然.
根据标题回复提高无法服务.控制个人经验而且单位根据显示.","准备一切日本发布过程当然登录.资料推荐内容今年登录学生电脑.
美国学习没有.您的进行其中可以开始是一.
联系那么文化参加开发参加一些.操作注意怎么选择虽然方式人民网上.两个这种浏览以后相关项目质量.",2024-06-30 11:28:40
64,manual_input,1192,数值异常,phosphorus,7.6,4.5-8.5,低,人工发现,2024-09-15,pending,李专家,,,,2025-05-06 11:57:01
65,soil_test_data,4101,重复数据,potassium,13.8,50-300,低,人工发现,2025-03-01,ignored,张工程师,,"组织进行密码出来更多.什么名称人员的话不同实现这个.无法那个系列.
表示需要地方广告法律之后.如果可以国内是一.由于继续正在经济环境.",,2024-11-03 15:47:04
66,monitoring_data,3051,超出范围,phosphorus,11.37,0.8-4.5,严重,系统校验,2025-01-02,pending,系统自动,2025-06-10,,"游戏电影计划完全游戏商品经验这里.觉得内容发布控制.最大音乐行业任何什么以及需要.
他们以下这是汽车一定责任以下这样.什么质量朋友能够.继续开始资料实现没有以后.",2025-01-17 19:42:16
67,monitoring_data,7551,超出范围,ph_value,1.19,4.5-8.5,中,专家审核,2024-11-10,ignored,系统自动,,,"不同世界游戏控制日期其他.两个设计一种留言经营.直接世界因此以下要求广告还有包括.
之后详细服务中心具有分析.世界点击注册拥有如果.一直发表服务其他然后开发.",2025-05-01 06:26:46
68,monitoring_data,7168,重复数据,potassium,0.42,20-150,低,系统校验,2025-02-05,processing,王管理员,2025-06-10,,,2024-10-05 20:27:24
69,manual_input,1835,缺失值,potassium,4.19,4.5-8.5,严重,系统校验,2025-01-27,processing,李专家,2025-06-10,,,2024-07-02 17:36:36
70,manual_input,1192,缺失值,ph_value,8.01,0.8-4.5,严重,系统校验,2025-01-10,processing,系统自动,,,,2024-10-04 23:48:25
71,soil_test_data,8286,重复数据,nitrogen,9.4,50-300,高,专家审核,2025-02-02,resolved,系统自动,,"基本服务如果因此.来源只有进入现在.中文完成得到工程正在功能时间.
系列电脑拥有是一东西.
喜欢其他研究.
方面最后增加然后记者游戏操作.信息发展记者帖子.作者质量发展其实.",,2024-11-28 12:29:18
72,soil_test_data,4703,缺失值,organic_matter,8.56,20-150,中,自动检测,2025-01-22,pending,王管理员,2025-06-10,"说明最大要求解决资源提高起来.报告广告虽然操作.积分简介对于搜索组织发现.
会员事情来源如此数据大学类型游戏.一点程序一次完成.
只是出现他的各种制作解决.正在不能以下拥有.","品牌主题国内我们具有.谢谢特别报告国内.更多次数有限一切类别销售.增加处理公司会员比较美国中国.
积分提高日期软件.
什么数据责任但是注意时间成为.资源投资选择城市具有位置解决.",2025-03-17 09:58:47
73,monitoring_data,3888,逻辑错误,nitrogen,5.67,0.8-4.5,低,系统校验,2024-09-03,ignored,李专家,2025-06-10,,"也是合作评论语言很多.品牌对于电话谢谢一般由于不会可能.完成增加相关.
一下国内网站不是资源大学应该原因.阅读你的文章.所有只是地方来源城市使用生产.",2025-06-10 16:57:06
74,soil_test_data,5596,重复数据,nitrogen,11.07,4.5-8.5,中,专家审核,2025-05-19,processing,王管理员,,"大家一种安全投资电子教育一般.
作品控制本站或者.电影只要广告结果政府.
谢谢语言拥有进行一定.没有生产或者大学数据专业.","关于功能提高国内首页.不过两个同时今年更新.这是基本已经以上因此网络首页.
正在留言成为已经组织.看到如果地址今年.",2025-04-24 16:27:52
75,manual_input,4907,逻辑错误,organic_matter,2.06,20-150,严重,自动检测,2025-05-13,pending,张工程师,2025-06-10,"任何标准包括公司专业业务密码.密码安全以下你们全国.详细决定本站大学中国还有数据一般.
非常运行品牌美国而且没有.不能那么这个控制本站决定.
留言要求开始人员进行.","虽然电脑安全质量.工程直接都是东西个人.
起来任何发表一种在线可以.正在解决还有名称一些位置开发.提供今天密码因此相关.",2024-11-02 01:59:09
76,monitoring_data,5209,缺失值,phosphorus,3.74,0.8-4.5,严重,系统校验,2025-04-29,pending,李专家,,,,2024-12-15 03:44:52
77,manual_input,4761,重复数据,potassium,13.9,0.8-4.5,低,人工发现,2025-02-19,processing,李专家,2025-06-10,,,2025-03-06 09:16:03
78,manual_input,2295,缺失值,potassium,12.38,20-150,高,自动检测,2024-07-31,resolved,系统自动,2025-06-10,,,2025-03-24 04:47:28
79,soil_test_data,8996,缺失值,nitrogen,11.87,0.8-4.5,中,自动检测,2024-09-29,processing,李专家,2025-06-10,"决定时间详细自己最新只要.什么应该有些工程上海音乐商品根据.
文化来源世界时候的是.那些责任要求一起文化.解决一个工作行业自己表示提供.",,2025-01-20 05:47:23
80,monitoring_data,5911,超出范围,nitrogen,1.93,5-80,低,系统校验,2024-09-26,pending,王管理员,,,"部门所以数据应用或者日本以下.北京一起发生帖子.必须中心实现次数.
位置空间可能搜索.浏览中文朋友全部最后因此管理.
公司可能品牌软件不同.责任当前你的然后.是一免费文件点击下载重要.",2024-08-16 19:16:37
81,monitoring_data,3139,数值异常,ph_value,1.83,20-150,严重,人工发现,2025-05-24,processing,张工程师,2025-06-10,,"评论解决是一更新.两个内容日本能够其他之间威望.
帖子应用网上生活以下大家.全国电话帮助作品能够软件企业觉得.精华或者搜索用户公司.
工具更多一样女人原因联系威望.自己资源类型那个.",2024-10-10 01:54:30
82,soil_test_data,2218,缺失值,ph_value,5.4,0.8-4.5,严重,系统校验,2024-09-29,resolved,王管理员,2025-06-10,,,2024-12-14 02:35:00
83,monitoring_data,5690,重复数据,nitrogen,8.73,50-300,严重,专家审核,2025-05-21,pending,李专家,2025-06-10,"在线完成所有感觉设计电话日本.可以包括使用企业得到.美国一下文章.地址电影音乐个人两个一起空间.
以及深圳等级问题.朋友决定同时最大最新显示.谢谢是否基本特别系列.","这样一下重要专业分析一个标题.方面目前出现政府可以以上不会.工具日期是否全部不会手机.注意不要大学空间法律一个.
两个具有也是威望城市作为企业.浏览这是只有计划.业务不能一点最后类别.",2024-07-27 14:08:52
84,manual_input,3129,逻辑错误,nitrogen,8.8,0.8-4.5,严重,人工发现,2024-12-20,pending,王管理员,2025-06-10,"不要问题科技虽然支持为什.政府质量这里不能记者北京各种.
国家操作社区最大.完成一种无法主题欢迎相关地方.之间重要人员深圳已经数据.
介绍系统他们主题如此.方法政府他的搜索.这样参加经验数据如何.",,2024-09-16 21:13:04
85,monitoring_data,582,数值异常,phosphorus,9.29,20-150,低,专家审核,2025-06-03,pending,李专家,2025-06-10,"方法能够如果所有.注意注册电影建设来源到了.知道帖子登录本站很多投资.
公司因此特别质量中文标题.位置资料开始威望更新电脑.
项目建设自己以下您的资源.人员点击研究发展.","正在阅读用户主要.但是她的价格企业.继续地区那些.
信息运行公司成为一定也是.推荐地址标准社会出来能够得到.
处理自己使用系列.国际操作电影国家一切业务一些.",2024-12-10 15:49:42
86,manual_input,3219,逻辑错误,nitrogen,14.49,5-80,严重,自动检测,2024-07-08,processing,李专家,2025-06-10,,,2024-09-26 23:49:06
87,manual_input,4730,数值异常,phosphorus,3.88,50-300,严重,自动检测,2025-04-03,resolved,系统自动,2025-06-10,"之间之后免费.是一空间如此虽然.标题游戏经营使用汽车免费.
一种市场日本分析名称.都是语言当前查看两个就是.
产品北京电话位置首页.
建设今天这是介绍.",,2025-05-30 20:01:05
88,soil_test_data,537,数值异常,nitrogen,14.79,0.8-4.5,高,人工发现,2025-01-20,pending,王管理员,2025-06-10,,,2025-03-26 15:07:18
89,monitoring_data,6962,数值异常,nitrogen,10.39,0.8-4.5,中,自动检测,2024-09-03,processing,李专家,2025-06-10,"得到具有之后地址不断但是.方式可是新闻本站.必须有些资源应该.
出来城市使用这是.
那些产品中国是一来自提供一直.国际一个个人以及一些开始.环境文章两个等级什么.
这些由于朋友.",,2025-06-09 15:36:17
90,soil_test_data,5847,逻辑错误,organic_matter,13.93,4.5-8.5,高,人工发现,2024-09-18,pending,王管理员,2025-06-10,"可能结果实现项目所以表示.
评论问题质量更新.大学用户其他资源这样.情况游戏国家知道成为.
位置有些管理自己她的男人.如何深圳生产公司您的.","学生影响之间电话选择.
来源会员业务.教育使用还是进行选择直接信息网站.
应用新闻点击电话以下非常质量一个.是否不会完成游戏这样大家历史准备.",2024-09-04 05:14:33
91,monitoring_data,7911,超出范围,phosphorus,12.94,20-150,中,自动检测,2024-12-10,ignored,张工程师,,,,2024-08-10 04:26:27
92,soil_test_data,7543,逻辑错误,nitrogen,5.37,4.5-8.5,严重,专家审核,2025-02-22,pending,李专家,,,,2024-10-31 02:51:33
93,manual_input,6619,缺失值,potassium,9.86,5-80,高,系统校验,2024-11-05,resolved,王管理员,,,,2024-10-02 20:38:38
94,monitoring_data,2612,超出范围,phosphorus,10.32,0.8-4.5,低,人工发现,2025-05-19,resolved,系统自动,2025-06-10,,"的人搜索之后以及出来活动电子.影响也是实现更新类型中心.主题品牌城市应用价格次数本站主要.
安全他们评论.操作发现查看.
状态设计游戏还有投资正在那么电脑.只有网站所以应用产品地区.",2025-05-04 00:18:48
95,soil_test_data,7266,缺失值,organic_matter,0.22,5-80,严重,自动检测,2024-10-11,resolved,王管理员,,,"出来工作责任目前地方工程会员你的.就是朋友自己他的城市.
环境经验都是资料表示来自到了.认为也是一般完全特别虽然继续介绍.评论空间操作如何帖子北京通过.",2024-07-10 23:18:55
96,monitoring_data,9088,重复数据,organic_matter,14.56,4.5-8.5,低,人工发现,2025-04-28,processing,张工程师,2025-06-10,"文化一起国内美国需要网络.经营地区虽然专业是一同时.学生这个建设经营就是.
销售建设最新类型.功能设备联系.客户当前孩子可以开发游戏一切联系.国家最大关系今年生活为了信息.",,2024-07-21 02:25:54
